tensor,layer,kind,numel,neg,zero,pos,neg_frac,zero_frac,pos_frac
model.language_model.layers.0.mlp.gate_proj,0,gate_proj,26214400,7598030,10963435,7652935,0.2898418426513672,0.41822185516357424,0.2919363021850586
model.language_model.layers.0.self_attn.o_proj,0,o_proj,5242880,1543880,2155968,1543032,0.29447174072265625,0.41121826171875,0.29430999755859377
model.language_model.layers.0.self_attn.q_proj,0,q_proj,5242880,1533491,2175300,1534089,0.29249019622802735,0.4149055480957031,0.2926042556762695
model.language_model.layers.0.mlp.up_proj,0,up_proj,26214400,7640076,10930540,7643784,0.29144577026367186,0.41696701049804685,0.29158721923828124
model.language_model.layers.1.mlp.gate_proj,1,gate_proj,26214400,7568858,11076466,7569076,0.28872901916503907,0.4225336456298828,0.2887373352050781
model.language_model.layers.1.self_attn.o_proj,1,o_proj,5242880,1541531,2157803,1543546,0.2940237045288086,0.41156826019287107,0.2944080352783203
model.language_model.layers.1.self_attn.q_proj,1,q_proj,5242880,1531872,2183411,1527597,0.292181396484375,0.41645259857177735,0.2913660049438477
model.language_model.layers.1.mlp.up_proj,1,up_proj,26214400,7589684,11034324,7590392,0.2895234680175781,0.42092605590820314,0.28955047607421874
model.language_model.layers.2.mlp.gate_proj,2,gate_proj,26214400,7584438,11110577,7519385,0.28932334899902346,0.42383487701416017,0.28684177398681643
model.language_model.layers.2.self_attn.o_proj,2,o_proj,5242880,1544544,2153650,1544686,0.294598388671875,0.41077613830566406,0.29462547302246095
model.language_model.layers.2.self_attn.q_proj,2,q_proj,5242880,1517029,2209575,1516276,0.2893503189086914,0.42144298553466797,0.28920669555664064
model.language_model.layers.2.mlp.up_proj,2,up_proj,26214400,7574816,11054516,7585068,0.288956298828125,0.42169631958007814,0.28934738159179685
model.language_model.layers.3.mlp.gate_proj,3,gate_proj,26214400,7641719,10973619,7599062,0.2915084457397461,0.4186103439331055,0.2898812103271484
model.language_model.layers.3.self_attn.o_proj,3,o_proj,5242880,1541289,2157199,1544392,0.2939775466918945,0.4114530563354492,0.29456939697265627
model.language_model.layers.3.self_attn.q_proj,3,q_proj,5242880,1532134,2182198,1528548,0.2922313690185547,0.41622123718261717,0.2915473937988281
model.language_model.layers.3.mlp.up_proj,3,up_proj,26214400,7631843,10952244,7630313,0.29113170623779294,0.41779495239257813,0.2910733413696289
model.language_model.layers.7.mlp.gate_proj,7,gate_proj,26214400,7598990,10983251,7632159,0.28987846374511717,0.41897777557373045,0.29114376068115233
model.language_model.layers.7.self_attn.o_proj,7,o_proj,5242880,1543777,2155727,1543376,0.2944520950317383,0.41117229461669924,0.2943756103515625
model.language_model.layers.7.self_attn.q_proj,7,q_proj,5242880,1519831,2201303,1521746,0.2898847579956055,0.41986522674560545,0.2902500152587891
model.language_model.layers.7.mlp.up_proj,7,up_proj,26214400,7623917,10972603,7617880,0.2908293533325195,0.4185715866088867,0.29059906005859376
model.language_model.layers.8.mlp.gate_proj,8,gate_proj,26214400,7547306,11094573,7572521,0.28790687561035155,0.4232243728637695,0.28886875152587893
model.language_model.layers.8.self_attn.o_proj,8,o_proj,5242880,1544019,2156734,1542127,0.29449825286865233,0.4113643646240234,0.29413738250732424
model.language_model.layers.8.self_attn.q_proj,8,q_proj,5242880,1532574,2175740,1534566,0.2923152923583984,0.4149894714355469,0.2926952362060547
model.language_model.layers.8.mlp.up_proj,8,up_proj,26214400,7582633,11053145,7578622,0.2892544937133789,0.4216440200805664,0.2891014862060547
