step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,rep_kl,rep_traj,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
1,613,2.1253,0.6592,5.3196,0.0002,0.0873,,0.0037,1.67e-05,7.01,32.4,91.4,66.4
5,613,2.3691,0.8954,6.1046,0.0002,0.0872,,0.0037,8.33e-05,8.11,32.4,91.4,61.6
10,613,1.8279,0.649,4.3972,0.0001,0.0894,,0.0076,0.000167,7.94,32.4,91.4,60.9
15,613,1.6448,0.8234,2.7321,0.0001,0.1281,,0.1177,0.00025,5.36,32.4,91.4,60.7
20,613,1.0594,0.613,1.0348,0.0001,0.0942,,0.2322,0.000333,1.67,32.4,91.4,60.6
25,613,0.8159,0.5465,0.2152,0.0001,0.0331,,0.0051,0.000417,1.1,32.4,91.4,60.9
30,613,0.749,0.5397,0.1799,0.0195,0.0627,,0.3485,0.0005,1.58,32.4,91.4,60.9
35,613,0.7704,0.508,0.0404,0.0002,0.0489,,0.2165,0.0005,1.19,32.4,91.4,60.7
40,613,0.8268,0.5302,0.0414,0.0001,0.0007,,0.0,0.0005,10.88,32.4,91.4,60.7
45,613,0.5721,0.3705,0.0138,0.0001,0.0,,0.0,0.000499,0.86,32.4,91.4,60.8
50,613,1.1114,0.7212,0.0917,0.0001,0.0,,0.0,0.000499,1.22,32.4,91.4,60.7
55,613,0.5902,0.3882,0.0133,0.0,0.0005,,0.0,0.000498,0.79,32.4,91.6,63.5
60,613,0.7839,0.4858,0.0059,0.0,0.0,,0.0,0.000497,1.1,32.4,91.6,63.2
65,613,0.4343,0.3164,0.0122,0.0002,0.0,,0.0,0.000496,1.36,32.4,91.6,63.1
70,613,0.6137,0.4249,0.0578,0.0001,0.0054,,0.0,0.000495,1.68,32.4,91.6,62.9
75,613,0.6411,0.4188,0.0092,0.0,0.0,,0.0,0.000493,1.4,32.4,91.6,62.7
80,613,0.4651,0.3281,0.0069,0.0001,0.0,,0.0,0.000492,0.87,32.4,91.6,62.5
85,613,0.8098,0.5007,0.048,0.0,0.0,,0.0,0.00049,0.74,32.4,91.6,62.5
90,613,0.6998,0.4441,0.0095,0.0004,0.0,,0.0,0.000488,1.79,32.4,91.6,62.4
95,613,0.8093,0.4829,0.014,0.0001,0.0012,,0.0,0.000486,0.81,32.4,91.6,62.2
100,613,0.6321,0.4168,0.0081,0.0009,0.0,,0.0,0.000484,0.72,32.4,91.6,62.1
105,613,0.6111,0.4036,0.0062,0.0001,0.0,,0.0,0.000482,1.13,32.4,91.6,63.9
110,613,0.7651,0.471,0.0024,0.0002,0.0,,0.0,0.000479,0.85,32.4,91.6,63.9
115,613,0.7098,0.4611,0.0043,0.0001,0.0,,0.0,0.000477,1.05,32.4,91.6,64.0
120,613,0.661,0.4432,0.0049,0.0001,0.0,,0.0,0.000474,0.88,32.4,91.6,63.9
125,613,0.6934,0.4853,0.0093,0.0001,0.0,,0.0,0.000471,0.95,32.4,91.6,63.8
130,613,0.6446,0.441,0.0232,0.0001,0.0047,,0.0,0.000468,1.07,32.4,91.6,63.7
135,613,0.5417,0.3695,0.0082,0.0001,0.0,,0.0,0.000465,0.47,32.4,91.6,63.6
140,613,1.0134,0.7478,0.0128,0.0001,0.0065,,0.0,0.000462,1.7,32.4,91.6,63.4
145,613,0.9937,0.7776,0.0151,0.0001,0.0207,,0.0887,0.000458,2.75,32.4,91.6,63.4
150,613,0.6759,0.4838,0.0083,0.0001,0.0,,0.0,0.000455,3.3,32.4,91.6,63.3
155,613,1.0453,0.7436,0.0092,0.0002,0.0,,0.0,0.000451,1.75,32.4,91.6,64.1
160,613,0.7026,0.4436,0.0146,0.5325,0.0007,,0.0,0.000447,8.75,32.4,91.6,64.0
165,613,1.0045,0.6607,0.0476,0.0,0.0,,0.0,0.000443,1.54,32.4,91.6,64.0
170,613,0.7808,0.508,0.0051,0.0,0.0,,0.0,0.000439,1.64,32.4,91.6,63.8
175,613,0.6262,0.433,0.004,0.0,0.0,,0.0,0.000435,0.67,32.4,91.6,63.7
180,613,0.6066,0.4261,0.0051,0.0,0.0,,0.0,0.00043,0.72,32.4,91.6,63.6
185,613,0.8214,0.4158,0.0092,2.4927,0.0042,,0.0,0.000426,0.91,32.4,91.6,63.6
