step,start,mid_sentence,sentence_period,sentence_newline,after_tool_call
25,0.0,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,0.0,1.0
75,0.0,0.0,0.0,0.0,0.9994
100,0.0,0.0,0.0,0.0,1.0
125,0.0,0.0,0.0,0.0,1.0
150,0.0,0.0,0.0,0.0,0.9996
175,0.0,0.0,0.0,0.0,1.0
200,0.0,0.0,0.0,0.0,0.9999
225,0.0,0.0,0.0,0.0,1.0
250,0.0,0.0,0.0,0.0,1.0
275,0.0,0.0,0.0,0.0,0.9999
300,0.0,0.0,0.0,0.0,1.0
325,0.0,0.0,0.0,0.0,1.0
350,0.0,0.0,0.0,0.0,1.0
375,0.0,0.0,0.0,0.0,1.0
400,0.0,0.0,0.0,0.0,1.0
425,0.0,0.0,0.0,0.0,1.0
450,0.0,0.0,0.0,0.0,1.0
475,0.0,0.0,0.0,0.0,1.0
500,0.0,0.0,0.0,0.0,1.0
525,0.0,0.0,0.0,0.0,1.0
550,0.0,0.0,0.0,0.0,1.0
575,0.0,0.0,0.0,0.0,1.0
600,0.0,0.0,0.0,0.0,1.0
