step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
1,613,2.1164,0.6592,5.3196,0.0002,0.0034,1.67e-05,7.0,31.7,88.8,48.8
5,613,2.3589,0.8952,6.0957,0.0002,0.0024,8.33e-05,7.2,31.7,88.8,49.1
10,613,1.8099,0.6472,4.3624,0.0001,0.0003,0.000167,10.89,31.7,88.8,49.1
15,613,1.6383,0.8171,2.8101,0.0001,0.0049,0.00025,3.87,31.7,88.8,49.1
20,613,1.0448,0.6116,1.0416,0.0002,0.001,0.000333,1.75,31.7,88.8,49.1
25,613,0.8105,0.546,0.2105,0.0001,0.0,0.000417,0.95,31.7,88.8,49.1
30,613,0.5755,0.4036,0.0595,0.0001,0.0005,0.0005,1.78,31.7,88.8,49.2
35,613,0.7085,0.4573,0.0327,0.0002,0.0,0.0005,0.93,31.7,88.8,49.1
40,613,0.8119,0.52,0.0437,0.0001,0.0,0.0005,1.41,31.7,88.8,49.1
45,613,0.5563,0.3574,0.0102,0.0001,0.0005,0.000499,0.6,31.7,88.8,49.1
50,613,1.0938,0.6987,0.1075,0.0002,0.0,0.000499,1.22,31.7,88.8,49.1
55,613,0.579,0.3794,0.0125,0.0,0.0,0.000498,0.68,31.7,88.8,52.0
60,613,0.7711,0.4742,0.0064,0.0,0.0,0.000497,1.06,31.7,88.8,51.7
65,613,0.4237,0.3068,0.0088,0.0002,0.0,0.000496,1.24,31.7,88.8,51.5
70,613,0.5774,0.3957,0.0489,0.0001,0.0,0.000495,1.34,31.7,88.8,51.3
75,613,0.6352,0.4113,0.0077,0.0,0.0,0.000493,1.3,31.7,88.8,51.2
80,613,0.4497,0.3212,0.007,0.0,0.0,0.000492,0.88,31.7,88.8,51.1
85,613,0.7861,0.4857,0.0525,0.0001,0.0,0.00049,0.66,31.7,88.8,51.0
90,613,0.6871,0.4369,0.0063,0.0011,0.0,0.000488,0.57,31.7,88.8,50.8
95,613,0.7871,0.4734,0.0088,0.0,0.0,0.000486,3.79,31.7,88.8,50.7
100,613,0.6781,0.467,0.0075,0.0001,0.0,0.000484,4.12,31.7,88.8,50.6
105,613,0.6211,0.4161,0.017,0.0001,0.0,0.000482,1.35,31.7,88.8,52.3
110,613,0.7675,0.4753,0.0027,0.0003,0.0,0.000479,0.81,31.7,88.8,52.2
115,613,0.7034,0.4548,0.0039,0.0,0.0,0.000477,0.78,31.7,88.8,52.0
120,613,0.6572,0.4421,0.0049,0.0,0.0,0.000474,1.06,31.7,88.8,51.9
125,613,0.6363,0.4289,0.0035,0.0001,0.0,0.000471,0.79,31.7,88.8,51.7
130,613,0.6464,0.4454,0.0032,0.0001,0.0,0.000468,1.03,31.7,88.8,51.7
135,613,0.5524,0.3812,0.0095,0.0001,0.0,0.000465,0.47,31.7,88.8,51.6
140,613,0.6451,0.3977,0.0049,0.0001,0.0,0.000462,1.27,31.7,88.8,51.5
145,613,0.7634,0.5593,0.0098,0.0007,0.0,0.000458,10.22,31.7,88.8,51.4
150,613,0.6981,0.5084,0.013,0.0,0.0,0.000455,1.46,31.7,88.8,51.3
155,613,0.9831,0.6838,0.0143,0.0,0.0,0.000451,1.3,31.7,88.8,52.2
160,613,0.6509,0.4432,0.0117,0.01,0.0,0.000447,1.06,31.7,88.8,52.1
165,613,1.0714,0.7359,0.0273,0.0,0.0,0.000443,1.06,31.7,88.8,52.0
170,613,1.3313,0.5154,0.0115,5.4524,0.0,0.000439,1.8,31.7,88.8,51.9
175,613,0.6291,0.4366,0.0046,0.0002,0.0,0.000435,0.69,31.7,88.8,51.9
180,613,0.6285,0.4511,0.0055,0.0001,0.0,0.00043,0.86,31.7,88.8,51.8
185,613,0.5573,0.4005,0.0058,0.0001,0.0,0.000426,0.75,31.7,88.8,51.7
190,613,0.6906,0.4905,0.0057,0.0001,0.0,0.000421,1.43,31.7,88.8,51.7
195,613,0.5674,0.396,0.009,0.0,0.0,0.000417,0.99,31.7,88.8,51.6
200,613,0.5406,0.397,0.0046,0.0001,0.0,0.000412,0.86,31.7,88.8,51.5
205,613,0.6831,0.5493,0.0057,0.0001,0.0,0.000407,4.94,31.7,88.8,52.4
210,613,0.8666,0.6582,0.0146,0.0002,0.0072,0.000402,1.27,31.7,88.8,52.3
215,613,0.7595,0.5309,0.0078,0.0001,0.0,0.000397,0.79,31.7,88.8,52.2
220,613,0.69,0.4929,0.0071,0.0,0.0,0.000392,1.28,31.7,88.8,52.1
225,613,0.6041,0.4429,0.0048,0.0001,0.0,0.000387,1.33,31.7,88.8,52.1
230,613,0.844,0.6163,0.0045,0.0,0.0,0.000381,3.56,31.7,88.8,52.0
235,613,1.019,0.6986,0.0351,0.0013,0.0,0.000376,0.95,31.7,88.8,51.9
240,613,0.6771,0.4843,0.0044,0.0,0.0,0.000371,2.06,31.7,88.8,51.9
245,613,0.6415,0.4501,0.0026,0.0,0.0,0.000365,1.58,31.7,88.8,51.8
250,613,0.7189,0.5069,0.0023,0.0,0.0,0.00036,0.85,31.7,88.8,51.8
255,613,0.9018,0.6139,0.0283,0.0,0.0,0.000354,3.46,31.7,88.8,52.3
260,613,0.6458,0.4705,0.0179,0.0,0.0,0.000348,4.45,31.7,88.8,52.3
265,613,0.6787,0.489,0.0025,0.0,0.0,0.000342,1.17,31.7,88.8,52.2
270,613,0.8673,0.5943,0.0041,0.0,0.0,0.000337,0.92,31.7,88.8,52.1
275,613,0.6702,0.4678,0.0125,0.0,0.0,0.000331,1.79,31.7,88.8,52.1
280,613,0.6097,0.4482,0.0036,0.0,0.0,0.000325,0.94,31.7,88.8,52.0
285,613,0.5954,0.4168,0.0034,0.0,0.0,0.000319,0.63,31.7,88.8,52.0
