step,tensor,flip_pct,zero_to_nonzero,nonzero_to_zero,sign_flips,densify_ratio,net_density_delta,scale_drift_pct,flip_pct_delta,z2nz_delta
100,model.layers.0.self_attn.q_proj,0.1363,10150,12717,1,0.7981442164032397,-2567,1.2,,
100,model.layers.5.self_attn.k_proj,0.1104,2857,1775,0,1.6095774647887324,1082,1.22,,
100,model.layers.10.self_attn.v_proj,0.0759,2519,663,0,3.7993966817496228,1856,1.17,,
100,model.layers.15.self_attn.o_proj,0.1519,18678,6807,0,2.7439400617011898,11871,1.31,,
100,model.layers.20.self_attn.o_proj,0.1948,24966,7712,0,3.2372925311203318,17254,1.32,,
100,model.layers.25.mlp.gate_proj,0.1607,67345,13520,0,4.981139053254438,53825,1.37,,
100,model.layers.30.mlp.up_proj,0.1316,48056,18170,0,2.644799119427628,29886,1.33,,
100,model.layers.35.mlp.down_proj,0.2628,70298,61969,2,1.1344059126337362,8329,1.27,,
200,model.layers.0.self_attn.q_proj,0.9622,70921,90494,19,0.7837094171989303,-19573,1.75,0.8259,60771
200,model.layers.5.self_attn.k_proj,0.7267,16885,13596,0,1.2419093851132685,3289,1.68,0.6163,14028
200,model.layers.10.self_attn.v_proj,0.4786,14333,5739,0,2.497473427426381,8594,1.53,0.4027,11814
200,model.layers.15.self_attn.o_proj,0.7166,80944,39281,0,2.0606400040732162,41663,1.69,0.5647,62266
200,model.layers.20.self_attn.o_proj,0.8249,98917,39474,0,2.5058772863150427,59443,1.73,0.6301,73951
200,model.layers.25.mlp.gate_proj,0.9619,354210,129906,0,2.7266638954320817,224304,1.87,0.8012,286865
200,model.layers.30.mlp.up_proj,0.6863,225678,119734,0,1.8848280354786444,105944,1.72,0.5547,177622
200,model.layers.35.mlp.down_proj,0.5766,148291,141938,1,1.0447589792726402,6353,1.56,0.3138,77993
300,model.layers.0.self_attn.q_proj,1.6165,119196,151971,41,0.7843338531693547,-32775,2.03,0.6543,48275
300,model.layers.5.self_attn.k_proj,1.356,30276,26600,0,1.1381954887218044,3676,1.91,0.6293,13391
300,model.layers.10.self_attn.v_proj,0.8394,24157,11052,0,2.1857582338038366,13105,1.73,0.3608,9824
300,model.layers.15.self_attn.o_proj,1.1884,131078,68298,3,1.9192070045974992,62780,1.88,0.4718,50134
300,model.layers.20.self_attn.o_proj,1.4064,162426,73518,3,2.209336489023096,88908,1.95,0.5815,63509
300,model.layers.25.mlp.gate_proj,1.7647,614220,274004,1,2.241646107356097,340216,2.14,0.8028,260010
300,model.layers.30.mlp.up_proj,1.2821,401165,244158,0,1.6430549070683738,157007,1.94,0.5958,175487
300,model.layers.35.mlp.down_proj,0.8815,221864,221822,3,1.0001893410031466,42,1.72,0.3049,73573
400,model.layers.0.self_attn.q_proj,1.9915,147004,187061,54,0.7858612965823982,-40057,2.18,0.375,27808
400,model.layers.5.self_attn.k_proj,1.6927,37391,33608,0,1.11256248512259,3783,2.02,0.3367,7115
400,model.layers.10.self_attn.v_proj,1.0671,30027,14731,0,2.0383544905301743,15296,1.82,0.2277,5870
400,model.layers.15.self_attn.o_proj,1.4379,156435,84796,4,1.8448393792160007,71639,1.97,0.2495,25357
400,model.layers.20.self_attn.o_proj,1.6956,193528,90937,9,2.128154656520448,102591,2.05,0.2892,31102
400,model.layers.25.mlp.gate_proj,2.2028,750525,358201,2,2.0952621572804095,392324,2.26,0.4381,136305
400,model.layers.30.mlp.up_proj,1.6117,494627,316580,0,1.5624076062922485,178047,2.04,0.3296,93462
400,model.layers.35.mlp.down_proj,1.0565,263002,268727,1,0.9786958511798219,-5725,1.79,0.175,41138
500,model.layers.0.self_attn.q_proj,2.111,155587,198501,82,0.7838096533518722,-42914,2.23,0.1195,8583
500,model.layers.5.self_attn.k_proj,1.7951,39484,35808,0,1.1026586237712244,3676,2.05,0.1024,2093
500,model.layers.10.self_attn.v_proj,1.1284,31567,15760,0,2.002982233502538,15807,1.84,0.0613,1540
500,model.layers.15.self_attn.o_proj,1.4863,161552,87804,4,1.8399161769395471,73748,1.99,0.0484,5117
500,model.layers.20.self_attn.o_proj,1.7519,199507,94404,7,2.113332062200754,105103,2.07,0.0563,5979
500,model.layers.25.mlp.gate_proj,2.3332,790378,383934,1,2.0586298686753453,406444,2.29,0.1304,39853
500,model.layers.30.mlp.up_proj,1.7127,522609,339441,0,1.5396166049475462,183168,2.06,0.101,27982
500,model.layers.35.mlp.down_proj,1.1003,273216,280572,1,0.9737821307899577,-7356,1.81,0.0438,10214
600,model.layers.0.self_attn.q_proj,2.1371,157591,200849,104,0.7846242699739605,-43258,2.24,0.0261,2004
600,model.layers.5.self_attn.k_proj,1.8054,39618,36107,0,1.0972387625668154,3511,2.05,0.0103,134
600,model.layers.10.self_attn.v_proj,1.1352,31768,15846,0,2.0047961630695443,15922,1.84,0.0068,201
600,model.layers.15.self_attn.o_proj,1.4879,161716,87905,4,1.839667823218247,73811,1.98,0.0016,164
