step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,rep_kl,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
1,613,2.125,0.6592,5.3196,0.0002,0.0873,,1.67e-05,7.0,32.3,89.3,56.3
5,613,2.3687,0.8953,6.1028,0.0002,0.0872,,8.33e-05,17.07,32.3,89.4,57.7
10,613,1.8406,0.6488,4.463,0.0001,0.0899,,0.000167,6.83,32.3,89.4,58.1
15,613,1.6554,0.8236,2.7938,0.0001,0.1383,,0.00025,4.33,32.3,89.4,58.2
20,613,1.0568,0.6139,1.0335,0.0002,0.1099,,0.000333,1.72,32.3,89.4,58.3
25,613,0.8207,0.5489,0.2129,0.0002,0.0532,,0.000417,1.0,32.3,89.4,58.3
30,613,0.5708,0.4025,0.0471,0.0001,0.0138,,0.0005,1.63,32.3,89.4,58.4
35,613,0.7088,0.4574,0.0362,0.0002,0.0004,,0.0005,1.32,32.3,89.4,58.3
40,613,0.8147,0.52,0.038,0.0001,0.05,,0.0005,1.49,32.3,89.4,58.3
45,613,0.5598,0.3577,0.018,0.0001,0.0,,0.000499,0.63,32.3,89.4,58.3
50,613,1.1097,0.7107,0.0728,0.0003,0.0,,0.000499,1.13,32.3,89.4,58.3
55,613,0.5809,0.3803,0.0127,0.0001,0.0,,0.000498,0.7,32.3,89.4,61.1
60,613,0.7742,0.4765,0.0058,0.0,0.0,,0.000497,1.02,32.3,89.4,60.9
65,613,0.4336,0.3134,0.0107,0.0004,0.006,,0.000496,1.2,32.3,89.4,60.7
70,613,0.6529,0.499,0.0645,0.0003,0.0714,,0.000495,2.02,32.3,89.4,60.5
75,613,0.6407,0.4161,0.0085,0.0,0.0008,,0.000493,1.31,32.3,89.4,60.4
80,613,0.4502,0.3184,0.0091,0.0,0.0,,0.000492,0.87,32.3,89.4,60.2
85,613,0.793,0.4827,0.0358,0.0,0.0,,0.00049,1.06,32.3,89.4,60.2
90,613,0.6831,0.4286,0.0049,0.0002,0.0,,0.000488,0.62,32.3,89.4,60.0
95,613,0.7995,0.4814,0.014,0.0005,0.0,,0.000486,0.69,32.3,89.4,59.9
100,613,0.6272,0.4138,0.006,0.0002,0.0,,0.000484,0.71,32.3,89.4,59.9
105,613,0.564,0.3637,0.0032,0.0003,0.0,,0.000482,0.98,32.3,89.4,61.6
110,613,0.7677,0.4757,0.0037,0.0,0.0,,0.000479,0.86,32.3,89.4,61.4
115,613,0.6966,0.4492,0.0047,0.0,0.0,,0.000477,0.83,32.3,89.4,61.3
120,613,0.6691,0.4524,0.0121,0.0,0.0,,0.000474,1.05,32.3,89.4,61.2
125,613,0.6291,0.4209,0.0046,0.0,0.0,,0.000471,0.82,32.3,89.4,61.0
130,613,0.6391,0.4378,0.0041,0.0,0.0,,0.000468,0.87,32.3,89.4,61.0
135,613,0.5503,0.3756,0.0075,0.0,0.0,,0.000465,0.47,32.3,89.4,60.9
140,613,0.6692,0.4127,0.0048,0.0,0.0813,,0.000462,1.18,32.3,89.4,60.8
145,613,0.7952,0.5879,0.0115,0.0,0.0279,,0.000458,5.8,32.3,89.4,60.7
150,613,0.7845,0.5942,0.0125,0.0,0.0,,0.000455,0.96,32.3,89.4,60.6
155,613,0.8029,0.5125,0.0052,0.0,0.0,,0.000451,1.66,32.3,89.4,61.5
160,613,0.6385,0.4357,0.0087,0.0,0.0,,0.000447,0.93,32.3,89.4,61.4
165,613,0.9741,0.6349,0.0624,0.0006,0.0,,0.000443,0.98,32.3,89.4,61.3
