step,total_steps,loss,kd_kl,stop_anchor,steer,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
1,613,2.3027,0.6345,6.3133,0.0002,1.67e-05,7.82,31.6,88.7,46.7
5,613,2.3921,0.7933,6.3264,0.0002,8.33e-05,52.73,31.6,88.7,47.3
10,613,2.1756,0.5913,6.3259,0.0001,0.000167,10.6,31.6,88.7,47.5
15,613,1.6734,0.7978,3.0027,0.0001,0.00025,3.73,31.6,88.7,47.5
20,613,1.0498,0.5971,1.0802,0.0001,0.000333,3.47,31.6,88.7,47.6
25,613,0.8154,0.5301,0.2384,0.0002,0.000417,1.04,31.6,88.7,47.6
30,613,0.5864,0.4005,0.0949,0.0001,0.0005,1.48,31.6,88.7,47.7
35,613,1.0335,0.7339,0.1735,0.1595,0.0005,1.22,31.6,88.7,47.6
40,613,0.8896,0.5829,0.0437,0.0007,0.0005,1.48,31.6,88.7,47.6
45,613,0.5696,0.3504,0.0296,0.0,0.000499,2.88,31.6,88.7,47.6
50,613,1.1418,0.6991,0.0826,0.0001,0.000499,1.74,31.6,88.7,47.6
55,613,0.5965,0.3931,0.0177,0.0,0.000498,1.23,31.6,88.7,50.4
60,613,0.7845,0.4707,0.0158,0.0,0.000497,1.1,31.6,88.7,50.2
65,613,0.4364,0.3122,0.0151,0.0001,0.000496,1.56,31.6,88.7,50.0
70,613,0.5703,0.3785,0.017,0.0,0.000495,1.04,31.6,88.7,49.8
75,613,0.6337,0.3943,0.0107,0.0,0.000493,1.48,31.6,88.7,49.7
80,613,0.4497,0.3123,0.0088,0.0002,0.000492,0.79,31.6,88.7,49.6
85,613,0.7697,0.445,0.04,0.0002,0.00049,0.61,31.6,88.7,49.5
90,613,0.6819,0.4128,0.0133,0.0005,0.000488,0.6,31.6,88.7,49.3
95,613,0.7752,0.444,0.0047,0.0,0.000486,1.21,31.6,88.7,49.2
100,613,0.6359,0.411,0.0079,0.0,0.000484,0.64,31.6,88.7,49.1
105,613,0.5732,0.3619,0.007,0.0,0.000482,1.04,31.6,88.7,50.8
110,613,0.7537,0.4438,0.0051,0.0,0.000479,0.81,31.6,88.7,50.7
