step,tensor,flip_pct,zero_to_nonzero,nonzero_to_zero,sign_flips,densify_ratio,net_density_delta,scale_drift_pct,flip_pct_delta,z2nz_delta
100,model.layers.0.self_attn.q_proj,0.0082,491,873,7,0.5624284077892325,-382,0.54,,
100,model.layers.5.self_attn.k_proj,0.0001,1,2,0,0.5,-1,0.58,,
100,model.layers.10.self_attn.v_proj,0.0,1,0,0,,1,0.65,,
100,model.layers.15.self_attn.o_proj,0.0032,413,116,0,3.560344827586207,297,0.78,,
100,model.layers.20.self_attn.o_proj,0.01,1325,352,0,3.7642045454545454,973,0.82,,
100,model.layers.25.mlp.gate_proj,0.0042,1758,342,0,5.140350877192983,1416,0.81,,
100,model.layers.30.mlp.up_proj,0.0083,3058,1115,0,2.7426008968609867,1943,0.87,,
100,model.layers.35.mlp.down_proj,0.0649,19223,13441,0,1.430176326166208,5782,0.88,,
200,model.layers.0.self_attn.q_proj,0.2764,19988,26206,171,0.7627260932610852,-6218,1.31,0.2682,19497
200,model.layers.5.self_attn.k_proj,0.2373,5781,4171,0,1.3859985614960442,1610,1.37,0.2372,5780
200,model.layers.10.self_attn.v_proj,0.1657,5340,1610,0,3.3167701863354035,3730,1.32,0.1657,5339
200,model.layers.15.self_attn.o_proj,0.3314,38954,16647,0,2.3400012014176728,22307,1.46,0.3282,38541
200,model.layers.20.self_attn.o_proj,0.3883,48488,16653,0,2.911667567405272,31835,1.48,0.3783,47163
200,model.layers.25.mlp.gate_proj,0.4246,166834,46880,0,3.558745733788396,119954,1.59,0.4204,165076
200,model.layers.30.mlp.up_proj,0.3206,111156,50205,0,2.214042426053182,60951,1.5,0.3123,108098
200,model.layers.35.mlp.down_proj,0.3486,93104,82346,1,1.1306438685546354,10758,1.42,0.2837,73881
300,model.layers.0.self_attn.q_proj,1.5269,110502,145501,168,0.7594586978783651,-34999,2.03,1.2505,90514
300,model.layers.5.self_attn.k_proj,1.1276,25564,21730,0,1.1764381040036815,3834,1.84,0.8903,19783
300,model.layers.10.self_attn.v_proj,0.8248,23751,10842,0,2.1906474820143886,12909,1.72,0.6591,18411
300,model.layers.15.self_attn.o_proj,1.1853,128656,70198,10,1.83275876805607,58458,1.87,0.8539,89702
300,model.layers.20.self_attn.o_proj,1.3943,159522,74399,5,2.1441417223349775,85123,1.94,1.006,111034
300,model.layers.25.mlp.gate_proj,1.6281,565807,253655,1,2.230616388401569,312152,2.09,1.2035,398973
300,model.layers.30.mlp.up_proj,1.2679,394092,244040,0,1.6148664153417474,150052,1.92,0.9473,282936
300,model.layers.35.mlp.down_proj,0.9362,235338,235886,0,0.9976768438991717,-548,1.75,0.5876,142234
400,model.layers.0.self_attn.q_proj,3.5126,253388,335441,485,0.755387683676116,-82053,2.84,1.9857,142886
400,model.layers.5.self_attn.k_proj,2.717,57995,55965,1,1.036272670419012,2030,2.36,1.5894,32431
400,model.layers.10.self_attn.v_proj,1.8669,50265,28039,0,1.7926816220264632,22226,2.08,1.0421,26514
400,model.layers.15.self_attn.o_proj,2.4586,253465,158961,52,1.594510603229723,94504,2.28,1.2733,124809
400,model.layers.20.self_attn.o_proj,2.8273,303898,170395,42,1.7834912996273364,133503,2.36,1.433,144376
400,model.layers.25.mlp.gate_proj,3.4245,1105578,618003,18,1.7889524808132,487575,2.54,1.7964,539771
400,model.layers.30.mlp.up_proj,2.8126,815748,599874,6,1.3598655717700716,215874,2.32,1.5447,421656
400,model.layers.35.mlp.down_proj,1.9155,459205,504897,2,0.9095023341394384,-45692,2.06,0.9793,223867
500,model.layers.0.self_attn.q_proj,5.6615,406696,542291,862,0.7499589703683078,-135595,3.73,2.1489,153308
500,model.layers.5.self_attn.k_proj,4.4082,91388,93495,9,0.9774640355099203,-2107,2.85,1.6912,33393
500,model.layers.10.self_attn.v_proj,2.9705,76290,48299,2,1.5795358081947866,27991,2.37,1.1036,26025
500,model.layers.15.self_attn.o_proj,3.9135,387992,268441,146,1.445352982592078,119551,2.68,1.4549,134527
500,model.layers.20.self_attn.o_proj,4.4112,455616,284346,122,1.6023295562448565,171270,2.78,1.5839,151718
500,model.layers.25.mlp.gate_proj,5.4925,1683153,1081197,113,1.5567496025238694,601956,2.96,2.068,577575
500,model.layers.30.mlp.up_proj,4.6625,1289029,1057622,38,1.2187993441891338,231407,2.7,1.8499,473281
500,model.layers.35.mlp.down_proj,3.1149,726013,841772,16,0.8624817646583636,-115759,2.37,1.1994,266808
600,model.layers.0.self_attn.q_proj,7.591,544699,727288,1570,0.74894539714666,-182589,4.64,1.9295,138003
600,model.layers.5.self_attn.k_proj,6.1045,123757,132243,42,0.9358302518847879,-8486,3.37,1.6963,32369
600,model.layers.10.self_attn.v_proj,4.0235,100008,68743,8,1.4548099442852362,31265,2.65,1.053,23718
600,model.layers.15.self_attn.o_proj,5.3561,515506,382761,332,1.3468091054208762,132745,3.09,1.4426,127514
600,model.layers.20.self_attn.o_proj,6.0417,604080,409192,358,1.4762751959960116,194888,3.25,1.6305,148464
600,model.layers.25.mlp.gate_proj,7.448,2203258,1545060,406,1.4260015792266967,658198,3.38,1.9555,520105
600,model.layers.30.mlp.up_proj,6.4477,1726756,1518334,150,1.1372701921975006,208422,3.07,1.7852,437727
600,model.layers.35.mlp.down_proj,4.3941,1004213,1207351,72,0.8317490108510284,-203138,2.69,1.2792,278200
700,model.layers.0.self_attn.q_proj,9.5198,681305,912882,2970,0.7463231830619949,-231577,5.67,1.9288,136606
700,model.layers.5.self_attn.k_proj,7.7093,154111,169136,106,0.9111661621417084,-15025,3.94,1.6048,30354
700,model.layers.10.self_attn.v_proj,5.0616,122749,89524,24,1.3711295295116392,33225,2.89,1.0381,22741
