step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,rep_kl,rep_traj,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
1,743,2.1666,0.8244,5.6402,0.0002,0.0873,,0.0037,1.35e-05,17.12,32.4,91.4,370.1
5,743,2.0864,0.7611,5.7171,0.0002,0.0873,,0.004,6.76e-05,6.84,32.4,91.4,324.1
10,743,1.6182,0.7045,4.2372,0.0001,0.0873,,0.0063,0.000135,5.27,32.4,91.4,317.8
15,743,1.4311,0.7609,2.5771,0.0001,0.0823,,0.0197,0.000203,3.27,32.4,91.4,314.9
20,743,0.9936,0.6764,0.8581,0.0001,0.0694,,0.0362,0.00027,1.77,32.4,91.5,313.9
25,743,0.8682,0.6443,0.2824,0.0001,0.0246,,0.0,0.000338,1.15,32.4,91.5,314.6
30,743,0.7247,0.5307,0.075,0.0001,0.0105,,0.0,0.000405,0.83,32.4,91.5,313.5
35,743,0.6706,0.4724,0.0714,0.0001,0.0021,,0.0,0.000473,1.27,32.4,91.5,313.0
40,743,0.6232,0.4477,0.0145,0.0001,0.0,,0.0,0.0005,0.98,32.4,91.5,312.4
45,743,0.5275,0.3758,0.0154,0.0001,0.0,,0.0,0.0005,0.69,32.4,91.5,312.8
50,743,0.5995,0.4063,0.0112,0.0001,0.0,,0.0,0.0005,0.39,32.4,91.5,312.4
55,743,0.5312,0.3594,0.0078,0.0,0.0022,,0.0,0.000499,0.51,32.4,91.5,314.9
60,743,0.6503,0.4232,0.0147,0.0,0.0,,0.0,0.000499,0.61,32.4,91.5,314.3
65,743,0.5427,0.356,0.0088,0.0,0.0448,,0.0614,0.000498,0.55,32.4,91.5,314.4
70,743,0.5689,0.3639,0.0085,0.0,0.0,,0.0,0.000498,0.56,32.4,91.5,313.9
75,743,0.4913,0.3391,0.0083,0.0,0.0,,0.0,0.000497,0.46,32.4,91.5,313.5
80,743,0.5918,0.3697,0.0058,0.0,0.0,,0.0,0.000496,0.47,32.4,91.6,313.1
85,743,0.5407,0.3629,0.0067,0.0,0.0,,0.0,0.000495,0.54,32.4,91.6,313.1
90,743,0.4735,0.3296,0.0068,0.0,0.0,,0.0,0.000494,0.3,32.4,91.6,312.8
95,743,0.5329,0.3641,0.0117,0.0,0.0,,0.0,0.000493,0.53,32.4,91.6,312.4
100,743,0.5485,0.3567,0.0136,0.0,0.0,,0.0,0.000491,0.88,32.4,91.6,312.2
105,743,0.5592,0.3529,0.0056,0.0,0.0,,0.0,0.00049,0.46,32.4,91.6,314.3
110,743,0.5085,0.3302,0.0039,0.0001,0.0,,0.0,0.000488,0.31,32.4,91.6,314.1
115,743,0.4942,0.3346,0.0055,0.0,0.0,,0.0,0.000487,0.42,32.4,91.6,313.9
120,743,0.5074,0.3329,0.0067,0.0,0.0,,0.0,0.000485,0.33,32.4,91.6,313.8
125,743,0.4807,0.3312,0.0077,0.0,0.0,,0.0,0.000483,0.45,32.4,91.6,313.8
130,743,0.4664,0.3112,0.0064,0.0,0.0,,0.0,0.000481,0.59,32.4,91.6,313.6
135,743,0.4318,0.2987,0.0045,0.0,0.0,,0.0,0.000479,0.39,32.4,91.6,313.3
140,743,0.5212,0.3534,0.0141,0.0,0.0,,0.0,0.000477,0.63,32.4,91.6,313.1
145,743,0.5025,0.3358,0.0055,0.0,0.016,,0.0,0.000475,0.51,32.4,91.6,313.2
150,743,0.4384,0.3058,0.0043,0.0,0.0,,0.0,0.000472,0.3,32.4,91.6,313.0
155,743,0.5063,0.3434,0.0062,0.0,0.0,,0.0,0.00047,0.92,32.4,91.6,313.8
160,743,0.5542,0.3642,0.0047,0.0,0.0,,0.0,0.000467,0.42,32.4,91.6,313.6
165,743,0.5281,0.3559,0.0053,0.0,0.0,,0.0,0.000464,0.55,32.4,91.6,313.6
170,743,0.5223,0.3502,0.0046,0.0,0.0,,0.0,0.000462,0.35,32.4,91.6,313.4
175,743,0.4906,0.3392,0.0071,0.0,0.0,,0.0,0.000459,0.33,32.4,91.6,313.2
180,743,0.5103,0.3526,0.0048,0.0,0.0,,0.0,0.000456,0.38,32.4,91.6,313.0
185,743,0.5044,0.3576,0.013,0.0,0.0,,0.0,0.000453,0.57,32.4,91.6,313.1
190,743,0.5083,0.3463,0.0038,0.0,0.0,,0.0,0.00045,0.73,32.4,91.6,312.9
195,743,0.6128,0.4524,0.0143,0.0,0.0,,0.0,0.000447,0.74,32.4,91.6,312.7
200,743,1.1433,0.583,0.0224,4.0907,0.0,,0.0,0.000443,27.14,32.4,91.6,312.6
205,743,0.9661,0.3766,0.1517,4.3192,0.0,,0.0076,0.00044,0.56,32.4,91.6,314.3
210,743,0.9771,0.7737,0.0337,0.0,0.0,,0.0,0.000437,7.34,32.4,91.6,314.1
215,743,0.7027,0.5479,0.0213,0.0,0.0,,0.0,0.000433,1.55,32.4,91.6,314.0
220,743,0.6841,0.5068,0.0114,0.0,0.0,,0.0,0.000429,0.71,32.4,91.6,313.9
225,743,0.4686,0.3383,0.0066,0.0002,0.0,,0.0,0.000426,0.3,32.4,91.6,313.9
230,743,0.516,0.3784,0.0095,0.0,0.0,,0.0,0.000422,0.51,32.4,91.6,313.7
235,743,0.8028,0.5853,0.0089,0.0,0.0,,0.0,0.000418,0.79,32.4,91.6,313.6
240,743,0.5639,0.399,0.0044,0.0,0.0,,0.0,0.000414,0.48,32.4,91.6,313.4
245,743,0.5102,0.3609,0.0046,0.0,0.0,,0.0,0.00041,0.38,32.4,91.6,313.4
250,743,0.566,0.4008,0.0043,0.0,0.0,,0.0,0.000406,0.64,32.4,91.6,313.3
255,743,0.5797,0.4018,0.016,0.0001,0.0,,0.0,0.000402,0.42,32.4,91.6,313.7
260,743,0.6553,0.4424,0.004,0.0,0.0,,0.0,0.000398,0.45,32.4,91.6,313.6
265,743,0.5078,0.3589,0.0044,0.0,0.0,,0.0,0.000394,0.37,32.4,91.6,313.6
270,743,0.5142,0.3607,0.0056,0.0,0.0,,0.0,0.00039,0.44,32.4,91.6,313.5
275,743,0.5761,0.3862,0.0039,0.0,0.0,,0.0,0.000385,0.65,32.4,91.6,313.3
280,743,0.5198,0.3588,0.0042,0.0,0.0,,0.0,0.000381,0.42,32.4,91.6,313.2
285,743,0.5047,0.3557,0.0045,0.0,0.0,,0.0,0.000376,0.37,32.4,91.6,313.2
290,743,0.5438,0.3736,0.0064,0.0,0.0,,0.0,0.000372,0.49,32.4,91.6,313.1
295,743,0.5501,0.3792,0.0042,0.0,0.0,,0.0,0.000367,0.41,32.4,91.6,313.0
300,743,0.4453,0.3206,0.0053,0.0,0.0,,0.0,0.000363,0.39,32.4,91.6,312.9
305,743,0.5748,0.3846,0.0035,0.0,0.0,,0.0,0.000358,1.24,32.4,91.6,313.5
310,743,0.4818,0.3347,0.0046,0.0,0.0,,0.0,0.000353,0.3,32.4,91.6,313.5
315,743,0.5043,0.3476,0.0043,0.0,0.0,,0.0,0.000349,0.43,32.4,91.6,313.4
320,743,0.4816,0.3367,0.0042,0.0,0.0,,0.0,0.000344,0.27,32.4,91.6,313.3
325,743,0.5162,0.3591,0.0043,0.0,0.0,,0.0,0.000339,0.27,32.4,91.6,313.3
330,743,0.5144,0.3468,0.0036,0.0,0.1112,,0.0,0.000334,0.39,32.4,91.6,313.3
335,743,0.5176,0.3646,0.0037,0.0,0.0,,0.0,0.00033,0.42,32.4,91.6,313.2
340,743,0.5108,0.3582,0.0039,0.0,0.0232,,0.0544,0.000325,0.81,32.4,91.6,313.1
345,743,0.4755,0.3371,0.0036,0.0,0.0071,,0.0033,0.00032,0.35,32.4,91.6,313.2
350,743,0.4912,0.3433,0.0033,0.0,0.0,,0.0,0.000315,0.33,32.4,91.6,313.1
355,743,0.6332,0.4753,0.0233,0.0,0.0001,,0.0,0.00031,2.33,32.4,91.6,313.5
360,743,0.6353,0.4513,0.0585,0.0,0.0,,0.0,0.000305,0.47,32.4,91.6,313.4
365,743,0.5227,0.3623,0.0056,0.0,0.0,,0.0,0.0003,0.31,32.4,91.6,313.4
370,743,0.5659,0.3984,0.0071,0.0,0.0,,0.0,0.000295,0.35,32.4,91.6,313.4
375,743,0.518,0.3566,0.0038,0.0,0.0,,0.0,0.00029,0.27,32.4,91.6,313.3
380,743,0.4962,0.3457,0.004,0.0,0.0,,0.0,0.000285,0.27,32.4,91.6,313.2
385,743,0.5277,0.3641,0.004,0.0,0.0,,0.0,0.00028,0.4,32.4,91.6,313.2
390,743,0.5035,0.3489,0.0033,0.0,0.0,,0.0,0.000275,0.5,32.4,91.6,313.2
395,743,0.4706,0.3261,0.0034,0.0,0.0,,0.0,0.00027,0.3,32.4,91.6,313.1
