label,instance_id,resolved,patch_produced,f2p_passed,f2p_total,p2p_passed,p2p_total,steps,tool_errors,tool_err_rate,malformed,timeouts,nonzero_exits,out_tokens,in_tokens,wall_s,exit_status,hit_max_turns,reasoning_budget
VANILLA-Q2_0,dask__dask-11393,0,0,0,1,34,34,19,0,0.0,0,0,8,1781,156313,9.6,completed,0,2048
SFT32K-Q2_0,dask__dask-11393,0,0,0,1,34,34,0,0,0.0,0,0,0,1,819,0.3,completed,0,2048
SFT32K_SW1-Q2_0,dask__dask-11393,0,0,0,1,34,34,60,0,0.0,0,0,60,4038,229178,18.6,error:MaxTurnsExceeded,1,2048
ANCHOR3-Q2_0,dask__dask-11393,0,0,0,1,34,34,20,0,0.0,0,0,5,9052,52121,32.5,error:InternalServerError,0,2048
ANCHOR6-Q2_0,dask__dask-11393,0,0,0,1,34,34,60,0,0.0,0,0,0,4898,813694,31.9,error:MaxTurnsExceeded,1,2048
ANCHOR6-RP-Q2_0,dask__dask-11393,0,0,0,1,34,34,10,0,0.0,0,0,2,599,15918,3.2,completed,0,2048
ANCHOR7-Q2_0,dask__dask-11393,0,0,0,1,34,34,60,0,0.0,0,0,0,3993,459111,25.2,error:MaxTurnsExceeded,1,2048
ANCHOR7-RP-Q2_0,dask__dask-11393,0,0,0,1,34,34,0,0,0.0,0,0,0,961,819,3.4,completed,0,2048
ANCHOR7-RPonly-Q2_0,dask__dask-11393,0,0,0,1,34,34,5,0,0.0,0,0,3,1232,9371,5.1,completed,0,2048
ANCHOR7-PRonly-Q2_0,dask__dask-11393,0,0,0,1,34,34,60,0,0.0,0,0,0,10123,568994,48.4,error:MaxTurnsExceeded,1,2048
ANCHOR7-RPsoft-Q2_0,dask__dask-11393,0,0,0,1,34,34,44,0,0.0,0,0,7,13720,802238,111.6,error:InternalServerError,0,2048
ANCHOR8-Q2_0,dask__dask-11393,0,0,0,1,34,34,60,0,0.0,0,0,57,23288,901377,106.3,error:MaxTurnsExceeded,1,2048
ANCHOR8-RP-Q2_0,dask__dask-11393,0,0,0,1,34,34,20,7,0.35,7,0,6,2839,41273,12.7,completed,0,2048
ANCHOR9-Q2_0,dask__dask-11393,0,0,0,1,34,34,60,0,0.0,0,0,0,4387,412033,21.4,error:MaxTurnsExceeded,1,2048
ANCHOR10-Q2_0,dask__dask-11393,0,0,0,1,34,34,60,4,0.0667,4,0,1,8351,831311,43.9,error:MaxTurnsExceeded,1,2048
ANCHOR10-RP-Q2_0,dask__dask-11393,0,0,0,1,34,34,1,0,0.0,0,0,0,190,1922,1.0,completed,0,2048
ANCHOR10-T07-Q2_0,dask__dask-11393,0,0,0,1,34,34,44,0,0.0,0,0,1,24052,384310,139.2,completed,0,2048
ANCHOR10-T07-Q2_0,dask__dask-11393,0,0,0,1,34,34,14,0,0.0,0,0,0,15099,99630,64.5,completed,0,2048
ANCHOR9-T07-Q2_0,dask__dask-11393,0,0,0,1,34,34,48,31,0.6458,31,0,3,18294,873650,98.7,error:InternalServerError,0,2048
